date,city,description
2013-09-24,Phoenix,sky is clear
2013-09-24,Pittsburgh,sky is clear
2013-09-24,Portland,light rain
2013-09-24,Saint Louis,sky is clear
2013-09-24,San Antonio,sky is clear
2013-09-24,San Diego,sky is clear
2013-09-24,San Francisco,sky is clear
2013-09-24,Seattle,light rain
2013-09-24,Tel Aviv District,few clouds
2013-09-24,Toronto,sky is clear
2013-09-24,Vancouver,broken clouds
2013-09-25,Albuquerque,sky is clear
2013-09-25,Atlanta,mist
2013-09-25,Beersheba,sky is clear
2013-09-25,Boston,sky is clear
2013-09-25,Charlotte,light rain
2013-09-25,Chicago,sky is clear
2013-09-25,Dallas,sky is clear
2013-09-25,Denver,sky is clear
2013-09-25,Detroit,scattered clouds
2013-09-25,Eilat,sky is clear
2013-09-25,Haifa,sky is clear
2013-09-25,Houston,sky is clear
2013-09-25,Indianapolis,sky is clear
2013-09-25,Jacksonville,mist
2013-09-25,Jerusalem,sky is clear
2013-09-25,Kansas City,sky is clear
2013-09-25,Las Vegas,sky is clear
2013-09-25,Los Angeles,sky is clear
2013-09-25,Miami,few clouds
2013-09-25,Minneapolis,sky is clear
2013-09-25,Montreal,sky is clear
2013-09-25,Nahariyya,sky is clear
2013-09-25,Nashville,moderate rain
2013-09-25,New York,sky is clear
2013-09-25,Philadelphia,sky is clear
2013-09-25,Phoenix,sky is clear
2013-09-25,Pittsburgh,broken clouds
2013-09-25,Portland,light rain
2013-09-25,Saint Louis,sky is clear
2013-09-25,San Antonio,sky is clear
2013-09-25,San Diego,sky is clear
2013-09-25,San Francisco,sky is clear
2013-09-25,Seattle,light rain
2013-09-25,Tel Aviv District,few clouds
2013-09-25,Toronto,sky is clear
2013-09-25,Vancouver,scattered clouds
2013-09-26,Albuquerque,sky is clear
2013-09-26,Atlanta,mist
2013-09-26,Beersheba,sky is clear
2013-09-26,Boston,sky is clear
2013-09-26,Charlotte,mist
2013-09-26,Chicago,sky is clear
2013-09-26,Dallas,sky is clear
2013-09-26,Denver,sky is clear
2013-09-26,Detroit,sky is clear
2013-09-26,Eilat,sky is clear
2013-09-26,Haifa,sky is clear
2013-09-26,Houston,sky is clear
2013-09-26,Indianapolis,sky is clear
2013-09-26,Jacksonville,light rain
2013-09-26,Jerusalem,sky is clear
2013-09-26,Kansas City,sky is clear
2013-09-26,Las Vegas,sky is clear
2013-09-26,Los Angeles,light rain
2013-09-26,Miami,sky is clear
2013-09-26,Minneapolis,sky is clear
2013-09-26,Montreal,sky is clear
2013-09-26,Nahariyya,sky is clear
2013-09-26,Nashville,sky is clear
2013-09-26,New York,sky is clear
2013-09-26,Philadelphia,broken clouds
2013-09-26,Phoenix,sky is clear
2013-09-26,Pittsburgh,sky is clear
2013-09-26,Portland,light rain
2013-09-26,Saint Louis,sky is clear
2013-09-26,San Antonio,sky is clear
2013-09-26,San Diego,broken clouds
2013-09-26,San Francisco,sky is clear
2013-09-26,Seattle,sky is clear
2013-09-26,Tel Aviv District,sky is clear
2013-09-26,Toronto,sky is clear
2013-09-26,Vancouver,sky is clear
2013-09-27,Albuquerque,sky is clear
2013-09-27,Atlanta,sky is clear
2013-09-27,Beersheba,sky is clear
2013-09-27,Boston,sky is clear
2013-09-27,Charlotte,sky is clear
2013-09-27,Chicago,sky is clear
2013-09-27,Dallas,sky is clear
2013-09-27,Denver,sky is clear
2013-09-27,Detroit,sky is clear
2013-09-27,Eilat,sky is clear
2013-09-27,Haifa,sky is clear
2013-09-27,Houston,sky is clear
2013-09-27,Indianapolis,sky is clear
2013-09-27,Jacksonville,sky is clear
2013-09-27,Jerusalem,sky is clear
2013-09-27,Kansas City,sky is clear
2013-09-27,Las Vegas,sky is clear
2013-09-27,Los Angeles,sky is clear
2013-09-27,Miami,light rain
2013-09-27,Minneapolis,sky is clear
2013-09-27,Montreal,sky is clear
2013-09-27,Nahariyya,sky is clear
2013-09-27,Nashville,sky is clear
2013-09-27,New York,sky is clear
2013-09-27,Philadelphia,broken clouds
2013-09-27,Phoenix,sky is clear
2013-09-27,Pittsburgh,sky is clear
2013-09-27,Portland,light rain
2013-09-27,Saint Louis,sky is clear
2013-09-27,San Antonio,sky is clear
2013-09-27,San Diego,sky is clear
2013-09-27,San Francisco,sky is clear
2013-09-27,Seattle,light rain
2013-09-27,Tel Aviv District,scattered clouds
2013-09-27,Toronto,sky is clear
2013-09-27,Vancouver,moderate rain
2013-09-28,Albuquerque,sky is clear
2013-09-28,Atlanta,sky is clear
2013-09-28,Beersheba,sky is clear
2013-09-28,Boston,sky is clear
2013-09-28,Charlotte,sky is clear
2013-09-28,Chicago,sky is clear
2013-09-28,Dallas,overcast clouds
2013-09-28,Denver,sky is clear
2013-09-28,Detroit,sky is clear
2013-09-28,Eilat,sky is clear
2013-09-28,Haifa,sky is clear
2013-09-28,Houston,sky is clear
2013-09-28,Indianapolis,sky is clear
2013-09-28,Jacksonville,overcast clouds
2013-09-28,Jerusalem,sky is clear
2013-09-28,Kansas City,few clouds
2013-09-28,Las Vegas,sky is clear
2013-09-28,Los Angeles,sky is clear
2013-09-28,Miami,broken clouds
2013-09-28,Minneapolis,sky is clear
2013-09-28,Montreal,sky is clear
2013-09-28,Nahariyya,sky is clear
2013-09-28,Nashville,sky is clear
2013-09-28,New York,sky is clear
2013-09-28,Philadelphia,sky is clear
2013-09-28,Phoenix,sky is clear
2013-09-28,Pittsburgh,sky is clear
2013-09-28,Portland,light rain
2013-09-28,Saint Louis,sky is clear
2013-09-28,San Antonio,overcast clouds
2013-09-28,San Diego,sky is clear
2013-09-28,San Francisco,sky is clear
2013-09-28,Seattle,overcast clouds
2013-09-28,Tel Aviv District,few clouds
2013-09-28,Toronto,sky is clear
2013-09-28,Vancouver,mist
2013-09-29,Albuquerque,sky is clear
2013-09-29,Atlanta,sky is clear
2013-09-29,Beersheba,sky is clear
2013-09-29,Boston,fog
2013-09-29,Charlotte,sky is clear
2013-09-29,Chicago,sky is clear
2013-09-29,Dallas,overcast clouds
2013-09-29,Denver,sky is clear
2013-09-29,Detroit,few clouds
2013-09-29,Eilat,sky is clear
2013-09-29,Haifa,sky is clear
2013-09-29,Houston,broken clouds
2013-09-29,Indianapolis,sky is clear
2013-09-29,Jacksonville,broken clouds
2013-09-29,Jerusalem,sky is clear
2013-09-29,Kansas City,sky is clear
2013-09-29,Las Vegas,sky is clear
2013-09-29,Los Angeles,sky is clear
2013-09-29,Miami,broken clouds
2013-09-29,Minneapolis,sky is clear
2013-09-29,Montreal,few clouds
2013-09-29,Nahariyya,sky is clear
2013-09-29,Nashville,sky is clear
2013-09-29,New York,sky is clear
2013-09-29,Philadelphia,sky is clear
2013-09-29,Phoenix,sky is clear
2013-09-29,Pittsburgh,sky is clear
2013-09-29,Portland,heavy intensity rain
2013-09-29,Saint Louis,light rain
2013-09-29,San Antonio,heavy intensity rain
2013-09-29,San Diego,sky is clear
2013-09-29,San Francisco,sky is clear
2013-09-29,Seattle,overcast clouds
2013-09-29,Tel Aviv District,few clouds
2013-09-29,Toronto,sky is clear
2013-09-29,Vancouver,light intensity shower rain
2013-09-30,Albuquerque,sky is clear
2013-09-30,Atlanta,sky is clear
2013-09-30,Beersheba,sky is clear
2013-09-30,Boston,sky is clear
2013-09-30,Charlotte,sky is clear
2013-09-30,Chicago,sky is clear
2013-09-30,Dallas,sky is clear
2013-09-30,Denver,sky is clear
2013-09-30,Detroit,light rain
2013-09-30,Eilat,sky is clear
2013-09-30,Haifa,sky is clear
2013-09-30,Houston,light rain
2013-09-30,Indianapolis,fog
2013-09-30,Jacksonville,sky is clear
2013-09-30,Jerusalem,sky is clear
2013-09-30,Kansas City,sky is clear
2013-09-30,Las Vegas,sky is clear
2013-09-30,Los Angeles,sky is clear
2013-09-30,Miami,broken clouds
2013-09-30,Minneapolis,sky is clear
2013-09-30,Montreal,sky is clear
2013-09-30,Nahariyya,sky is clear
2013-09-30,Nashville,overcast clouds
2013-09-30,New York,sky is clear
2013-09-30,Philadelphia,scattered clouds
2013-09-30,Phoenix,sky is clear
2013-09-30,Pittsburgh,sky is clear
2013-09-30,Portland,heavy intensity rain
2013-09-30,Saint Louis,sky is clear
2013-09-30,San Antonio,sky is clear
2013-09-30,San Diego,sky is clear
2013-09-30,San Francisco,light rain
2013-09-30,Seattle,heavy intensity rain
2013-09-30,Tel Aviv District,few clouds
2013-09-30,Toronto,overcast clouds
2013-09-30,Vancouver,light rain
2013-10-01,Albuquerque,sky is clear
2013-10-01,Atlanta,sky is clear
2013-10-01,Beersheba,sky is clear
2013-10-01,Boston,sky is clear
2013-10-01,Charlotte,sky is clear
2013-10-01,Chicago,sky is clear
2013-10-01,Dallas,sky is clear
2013-10-01,Denver,sky is clear
2013-10-01,Detroit,sky is clear
2013-10-01,Eilat,sky is clear
2013-10-01,Haifa,sky is clear
2013-10-01,Houston,moderate rain
2013-10-01,Indianapolis,broken clouds
2013-10-01,Jacksonville,sky is clear
2013-10-01,Jerusalem,sky is clear
2013-10-01,Kansas City,sky is clear
2013-10-01,Las Vegas,sky is clear
2013-10-01,Los Angeles,sky is clear
2013-10-01,Miami,light rain
2013-10-01,Minneapolis,sky is clear
2013-10-01,Montreal,sky is clear
2013-10-01,Nahariyya,sky is clear
2013-10-01,Nashville,light rain
2013-10-01,New York,sky is clear
2013-10-01,Philadelphia,sky is clear
2013-10-01,Phoenix,sky is clear
2013-10-01,Pittsburgh,light rain
2013-10-01,Portland,heavy intensity rain
2013-10-01,Saint Louis,sky is clear
2013-10-01,San Antonio,sky is clear
2013-10-01,San Diego,sky is clear
2013-10-01,San Francisco,sky is clear
2013-10-01,Seattle,moderate rain
2013-10-01,Tel Aviv District,sky is clear
2013-10-01,Toronto,sky is clear
2013-10-01,Vancouver,heavy intensity rain
2013-10-02,Albuquerque,sky is clear
2013-10-02,Atlanta,sky is clear
2013-10-02,Beersheba,sky is clear
2013-10-02,Boston,sky is clear
2013-10-02,Charlotte,sky is clear
2013-10-02,Chicago,sky is clear
2013-10-02,Dallas,moderate rain
2013-10-02,Denver,sky is clear
2013-10-02,Detroit,sky is clear
2013-10-02,Eilat,sky is clear
2013-10-02,Haifa,sky is clear
2013-10-02,Houston,moderate rain
2013-10-02,Indianapolis,sky is clear
2013-10-02,Jacksonville,sky is clear
2013-10-02,Jerusalem,sky is clear
2013-10-02,Kansas City,sky is clear
2013-10-02,Las Vegas,sky is clear
2013-10-02,Los Angeles,sky is clear
2013-10-02,Miami,light rain
2013-10-02,Minneapolis,sky is clear
2013-10-02,Montreal,sky is clear
2013-10-02,Nahariyya,sky is clear
2013-10-02,Nashville,broken clouds
2013-10-02,New York,sky is clear
2013-10-02,Philadelphia,sky is clear
2013-10-02,Phoenix,sky is clear
2013-10-02,Pittsburgh,sky is clear
2013-10-02,Portland,broken clouds
2013-10-02,Saint Louis,sky is clear
2013-10-02,San Antonio,light rain
2013-10-02,San Diego,sky is clear
2013-10-02,San Francisco,sky is clear
2013-10-02,Seattle,light rain
2013-10-02,Tel Aviv District,sky is clear
2013-10-02,Toronto,sky is clear
2013-10-02,Vancouver,heavy intensity rain
2013-10-03,Albuquerque,sky is clear
2013-10-03,Atlanta,few clouds
2013-10-03,Beersheba,sky is clear
2013-10-03,Boston,sky is clear
2013-10-03,Charlotte,sky is clear
2013-10-03,Chicago,broken clouds
2013-10-03,Dallas,sky is clear
2013-10-03,Denver,sky is clear
2013-10-03,Detroit,overcast clouds
2013-10-03,Eilat,sky is clear
2013-10-03,Haifa,overcast clouds
2013-10-03,Houston,sky is clear
2013-10-03,Indianapolis,overcast clouds
2013-10-03,Jacksonville,sky is clear
2013-10-03,Jerusalem,sky is clear
2013-10-03,Kansas City,scattered clouds
2013-10-03,Las Vegas,sky is clear
2013-10-03,Los Angeles,sky is clear
2013-10-03,Miami,broken clouds
2013-10-03,Minneapolis,light rain
2013-10-03,Montreal,sky is clear
2013-10-03,Nahariyya,broken clouds
2013-10-03,Nashville,sky is clear
2013-10-03,New York,sky is clear
2013-10-03,Philadelphia,sky is clear
2013-10-03,Phoenix,sky is clear
2013-10-03,Pittsburgh,light rain
2013-10-03,Portland,light rain
2013-10-03,Saint Louis,scattered clouds
2013-10-03,San Antonio,sky is clear
2013-10-03,San Diego,sky is clear
2013-10-03,San Francisco,sky is clear
2013-10-03,Seattle,light rain
2013-10-03,Tel Aviv District,scattered clouds
2013-10-03,Toronto,sky is clear
2013-10-03,Vancouver,sky is clear
2013-10-04,Albuquerque,sky is clear
2013-10-04,Atlanta,sky is clear
2013-10-04,Beersheba,overcast clouds
2013-10-04,Boston,scattered clouds
2013-10-04,Charlotte,sky is clear
2013-10-04,Chicago,scattered clouds
2013-10-04,Dallas,sky is clear
2013-10-04,Denver,light rain
2013-10-04,Detroit,broken clouds
2013-10-04,Eilat,sky is clear
2013-10-04,Haifa,overcast clouds
2013-10-04,Houston,sky is clear
2013-10-04,Indianapolis,broken clouds
2013-10-04,Jacksonville,sky is clear
2013-10-04,Jerusalem,broken clouds
2013-10-04,Kansas City,sky is clear
2013-10-04,Las Vegas,sky is clear
2013-10-04,Los Angeles,sky is clear
2013-10-04,Miami,broken clouds
2013-10-04,Minneapolis,overcast clouds
2013-10-04,Montreal,broken clouds
2013-10-04,Nahariyya,broken clouds
2013-10-04,Nashville,broken clouds
2013-10-04,New York,sky is clear
2013-10-04,Philadelphia,sky is clear
2013-10-04,Phoenix,sky is clear
2013-10-04,Pittsburgh,sky is clear
2013-10-04,Portland,sky is clear
2013-10-04,Saint Louis,scattered clouds
2013-10-04,San Antonio,sky is clear
2013-10-04,San Diego,sky is clear
2013-10-04,San Francisco,sky is clear
2013-10-04,Seattle,sky is clear
2013-10-04,Tel Aviv District,scattered clouds
2013-10-04,Toronto,overcast clouds
2013-10-04,Vancouver,sky is clear
2013-10-05,Albuquerque,sky is clear
2013-10-05,Atlanta,sky is clear
2013-10-05,Beersheba,sky is clear
2013-10-05,Boston,sky is clear
2013-10-05,Charlotte,sky is clear
2013-10-05,Chicago,mist
2013-10-05,Dallas,sky is clear
2013-10-05,Denver,overcast clouds
2013-10-05,Detroit,mist
2013-10-05,Eilat,sky is clear
2013-10-05,Haifa,sky is clear
2013-10-05,Houston,sky is clear
2013-10-05,Indianapolis,broken clouds
2013-10-05,Jacksonville,sky is clear
2013-10-05,Jerusalem,sky is clear
2013-10-05,Kansas City,few clouds
2013-10-05,Las Vegas,sky is clear
2013-10-05,Los Angeles,sky is clear
2013-10-05,Miami,sky is clear
2013-10-05,Minneapolis,mist
2013-10-05,Montreal,broken clouds
2013-10-05,Nahariyya,sky is clear
2013-10-05,Nashville,light rain
2013-10-05,New York,mist
2013-10-05,Philadelphia,sky is clear
2013-10-05,Phoenix,sky is clear
2013-10-05,Pittsburgh,broken clouds
2013-10-05,Portland,mist
2013-10-05,Saint Louis,broken clouds
2013-10-05,San Antonio,sky is clear
2013-10-05,San Diego,sky is clear
2013-10-05,San Francisco,sky is clear
2013-10-05,Seattle,sky is clear
2013-10-05,Tel Aviv District,scattered clouds
2013-10-05,Toronto,overcast clouds
2013-10-05,Vancouver,mist
2013-10-06,Albuquerque,sky is clear
2013-10-06,Atlanta,sky is clear
2013-10-06,Beersheba,sky is clear
2013-10-06,Boston,mist
2013-10-06,Charlotte,sky is clear
2013-10-06,Chicago,light rain
2013-10-06,Dallas,sky is clear
2013-10-06,Denver,sky is clear
2013-10-06,Detroit,light rain
2013-10-06,Eilat,sky is clear
2013-10-06,Haifa,sky is clear
2013-10-06,Houston,mist
2013-10-06,Indianapolis,mist
2013-10-06,Jacksonville,sky is clear
2013-10-06,Jerusalem,sky is clear
2013-10-06,Kansas City,sky is clear
2013-10-06,Las Vegas,sky is clear
2013-10-06,Los Angeles,sky is clear
2013-10-06,Miami,broken clouds
2013-10-06,Minneapolis,mist
2013-10-06,Montreal,broken clouds
2013-10-06,Nahariyya,sky is clear
2013-10-06,Nashville,light rain
2013-10-06,New York,mist
2013-10-06,Philadelphia,mist
2013-10-06,Phoenix,sky is clear
2013-10-06,Pittsburgh,sky is clear
2013-10-06,Portland,mist
2013-10-06,Saint Louis,sky is clear
2013-10-06,San Antonio,sky is clear
2013-10-06,San Diego,sky is clear
2013-10-06,San Francisco,sky is clear
2013-10-06,Seattle,sky is clear
2013-10-06,Tel Aviv District,broken clouds
2013-10-06,Toronto,mist
2013-10-06,Vancouver,broken clouds
2013-10-07,Albuquerque,sky is clear
2013-10-07,Atlanta,light rain
2013-10-07,Beersheba,sky is clear
2013-10-07,Boston,light rain
2013-10-07,Charlotte,overcast clouds
2013-10-07,Chicago,sky is clear
2013-10-07,Dallas,sky is clear
2013-10-07,Denver,sky is clear
2013-10-07,Detroit,light rain
2013-10-07,Eilat,sky is clear
2013-10-07,Haifa,sky is clear
2013-10-07,Houston,sky is clear
2013-10-07,Indianapolis,sky is clear
2013-10-07,Jacksonville,sky is clear
2013-10-07,Jerusalem,sky is clear
2013-10-07,Kansas City,sky is clear
2013-10-07,Las Vegas,sky is clear
2013-10-07,Los Angeles,few clouds
2013-10-07,Miami,overcast clouds
2013-10-07,Minneapolis,scattered clouds
2013-10-07,Montreal,overcast clouds
2013-10-07,Nahariyya,sky is clear
2013-10-07,Nashville,sky is clear
2013-10-07,New York,light rain
2013-10-07,Philadelphia,light rain
2013-10-07,Phoenix,sky is clear
2013-10-07,Pittsburgh,moderate rain
2013-10-07,Portland,light rain
2013-10-07,Saint Louis,sky is clear
2013-10-07,San Antonio,sky is clear
2013-10-07,San Diego,sky is clear
2013-10-07,San Francisco,sky is clear
2013-10-07,Seattle,light rain
2013-10-07,Tel Aviv District,sky is clear
2013-10-07,Toronto,mist
2013-10-07,Vancouver,light rain
2013-10-08,Albuquerque,sky is clear
2013-10-08,Atlanta,overcast clouds
2013-10-08,Beersheba,sky is clear
2013-10-08,Boston,light rain
2013-10-08,Charlotte,overcast clouds
2013-10-08,Chicago,sky is clear
2013-10-08,Dallas,sky is clear
2013-10-08,Denver,sky is clear
2013-10-08,Detroit,sky is clear
2013-10-08,Eilat,sky is clear
2013-10-08,Haifa,sky is clear
2013-10-08,Houston,sky is clear
2013-10-08,Indianapolis,sky is clear
2013-10-08,Jacksonville,light rain
2013-10-08,Jerusalem,sky is clear
2013-10-08,Kansas City,sky is clear
2013-10-08,Las Vegas,sky is clear
2013-10-08,Los Angeles,sky is clear
2013-10-08,Miami,broken clouds
2013-10-08,Minneapolis,sky is clear
2013-10-08,Montreal,sky is clear
2013-10-08,Nahariyya,sky is clear
2013-10-08,Nashville,sky is clear
2013-10-08,New York,few clouds
2013-10-08,Philadelphia,sky is clear
2013-10-08,Phoenix,sky is clear
2013-10-08,Pittsburgh,sky is clear
2013-10-08,Portland,moderate rain
2013-10-08,Saint Louis,sky is clear
2013-10-08,San Antonio,sky is clear
2013-10-08,San Diego,sky is clear
2013-10-08,San Francisco,sky is clear
2013-10-08,Seattle,light rain
2013-10-08,Tel Aviv District,sky is clear
2013-10-08,Toronto,sky is clear
2013-10-08,Vancouver,light rain
2013-10-09,Albuquerque,sky is clear
2013-10-09,Atlanta,sky is clear
2013-10-09,Beersheba,sky is clear
2013-10-09,Boston,overcast clouds
2013-10-09,Charlotte,light rain
2013-10-09,Chicago,sky is clear
2013-10-09,Dallas,sky is clear
2013-10-09,Denver,sky is clear
2013-10-09,Detroit,sky is clear
2013-10-09,Eilat,sky is clear
2013-10-09,Haifa,sky is clear
2013-10-09,Houston,sky is clear
2013-10-09,Indianapolis,sky is clear
2013-10-09,Jacksonville,mist
2013-10-09,Jerusalem,sky is clear
2013-10-09,Kansas City,sky is clear
2013-10-09,Las Vegas,sky is clear
2013-10-09,Los Angeles,light rain
2013-10-09,Miami,broken clouds
2013-10-09,Minneapolis,sky is clear
2013-10-09,Montreal,few clouds
2013-10-09,Nahariyya,sky is clear
2013-10-09,Nashville,sky is clear
2013-10-09,New York,scattered clouds
2013-10-09,Philadelphia,sky is clear
2013-10-09,Phoenix,sky is clear
2013-10-09,Pittsburgh,sky is clear
2013-10-09,Portland,few clouds
2013-10-09,Saint Louis,sky is clear
2013-10-09,San Antonio,sky is clear
2013-10-09,San Diego,overcast clouds
2013-10-09,San Francisco,mist
2013-10-09,Seattle,sky is clear
2013-10-09,Tel Aviv District,sky is clear
2013-10-09,Toronto,sky is clear
2013-10-09,Vancouver,sky is clear
2013-10-10,Albuquerque,sky is clear
2013-10-10,Atlanta,sky is clear
2013-10-10,Beersheba,sky is clear
2013-10-10,Boston,overcast clouds
2013-10-10,Charlotte,broken clouds
2013-10-10,Chicago,sky is clear
2013-10-10,Dallas,sky is clear
2013-10-10,Denver,overcast clouds
2013-10-10,Detroit,sky is clear
2013-10-10,Eilat,sky is clear
2013-10-10,Haifa,sky is clear
2013-10-10,Houston,sky is clear
2013-10-10,Indianapolis,sky is clear
2013-10-10,Jacksonville,sky is clear
2013-10-10,Jerusalem,sky is clear
2013-10-10,Kansas City,broken clouds
2013-10-10,Las Vegas,overcast clouds
2013-10-10,Los Angeles,sky is clear
2013-10-10,Miami,sky is clear
2013-10-10,Minneapolis,sky is clear
2013-10-10,Montreal,broken clouds
2013-10-10,Nahariyya,sky is clear
2013-10-10,Nashville,few clouds
2013-10-10,New York,overcast clouds
2013-10-10,Philadelphia,overcast clouds
2013-10-10,Phoenix,overcast clouds
2013-10-10,Pittsburgh,sky is clear
2013-10-10,Portland,overcast clouds
2013-10-10,Saint Louis,mist
2013-10-10,San Antonio,sky is clear
2013-10-10,San Diego,broken clouds
2013-10-10,San Francisco,mist
2013-10-10,Seattle,overcast clouds
2013-10-10,Tel Aviv District,sky is clear
2013-10-10,Toronto,scattered clouds
2013-10-10,Vancouver,overcast clouds
2013-10-11,Albuquerque,sky is clear
2013-10-11,Atlanta,sky is clear
2013-10-11,Beersheba,sky is clear
2013-10-11,Boston,broken clouds
2013-10-11,Charlotte,sky is clear
2013-10-11,Chicago,sky is clear
2013-10-11,Dallas,scattered clouds
2013-10-11,Denver,overcast clouds
2013-10-11,Detroit,sky is clear
2013-10-11,Eilat,sky is clear
2013-10-11,Haifa,sky is clear
2013-10-11,Houston,light rain
2013-10-11,Indianapolis,sky is clear
2013-10-11,Jacksonville,sky is clear
2013-10-11,Jerusalem,sky is clear
2013-10-11,Kansas City,sky is clear
2013-10-11,Las Vegas,sky is clear
2013-10-11,Los Angeles,sky is clear
2013-10-11,Miami,sky is clear
2013-10-11,Minneapolis,sky is clear
2013-10-11,Montreal,sky is clear
2013-10-11,Nahariyya,sky is clear
2013-10-11,Nashville,sky is clear
2013-10-11,New York,light rain
2013-10-11,Philadelphia,mist
2013-10-11,Phoenix,sky is clear
2013-10-11,Pittsburgh,mist
2013-10-11,Portland,broken clouds
2013-10-11,Saint Louis,sky is clear
2013-10-11,San Antonio,overcast clouds
2013-10-11,San Diego,sky is clear
2013-10-11,San Francisco,mist
2013-10-11,Seattle,light rain
2013-10-11,Tel Aviv District,sky is clear
2013-10-11,Toronto,sky is clear
2013-10-11,Vancouver,few clouds
2013-10-12,Albuquerque,sky is clear
2013-10-12,Atlanta,sky is clear
2013-10-12,Beersheba,sky is clear
2013-10-12,Boston,sky is clear
2013-10-12,Charlotte,sky is clear
2013-10-12,Chicago,sky is clear
2013-10-12,Dallas,scattered clouds
2013-10-12,Denver,sky is clear
2013-10-12,Detroit,sky is clear
2013-10-12,Eilat,sky is clear
2013-10-12,Haifa,sky is clear
2013-10-12,Houston,broken clouds
2013-10-12,Indianapolis,sky is clear
2013-10-12,Jacksonville,sky is clear
2013-10-12,Jerusalem,sky is clear
2013-10-12,Kansas City,sky is clear
2013-10-12,Las Vegas,sky is clear
2013-10-12,Los Angeles,sky is clear
2013-10-12,Miami,sky is clear
2013-10-12,Minneapolis,light rain
2013-10-12,Montreal,sky is clear
2013-10-12,Nahariyya,sky is clear
2013-10-12,Nashville,sky is clear
2013-10-12,New York,scattered clouds
2013-10-12,Philadelphia,light rain
2013-10-12,Phoenix,sky is clear
2013-10-12,Pittsburgh,broken clouds
2013-10-12,Portland,light rain
2013-10-12,Saint Louis,sky is clear
2013-10-12,San Antonio,overcast clouds
2013-10-12,San Diego,sky is clear
2013-10-12,San Francisco,sky is clear
2013-10-12,Seattle,light rain
2013-10-12,Tel Aviv District,sky is clear
2013-10-12,Toronto,sky is clear
2013-10-12,Vancouver,broken clouds
2013-10-13,Albuquerque,sky is clear
2013-10-13,Atlanta,sky is clear
2013-10-13,Beersheba,sky is clear
2013-10-13,Boston,sky is clear
2013-10-13,Charlotte,broken clouds
2013-10-13,Chicago,sky is clear
2013-10-13,Dallas,broken clouds
2013-10-13,Denver,sky is clear
2013-10-13,Detroit,sky is clear
2013-10-13,Eilat,sky is clear
2013-10-13,Haifa,sky is clear
2013-10-13,Houston,light rain
2013-10-13,Indianapolis,sky is clear
2013-10-13,Jacksonville,sky is clear
2013-10-13,Jerusalem,sky is clear
2013-10-13,Kansas City,sky is clear
2013-10-13,Las Vegas,sky is clear
2013-10-13,Los Angeles,sky is clear
2013-10-13,Miami,sky is clear
2013-10-13,Minneapolis,sky is clear
2013-10-13,Montreal,sky is clear
2013-10-13,Nahariyya,sky is clear
2013-10-13,Nashville,broken clouds
2013-10-13,New York,sky is clear
2013-10-13,Philadelphia,overcast clouds
2013-10-13,Phoenix,sky is clear
2013-10-13,Pittsburgh,broken clouds
2013-10-13,Portland,sky is clear
2013-10-13,Saint Louis,sky is clear
2013-10-13,San Antonio,light rain
2013-10-13,San Diego,sky is clear
2013-10-13,San Francisco,sky is clear
2013-10-13,Seattle,sky is clear
2013-10-13,Tel Aviv District,sky is clear
2013-10-13,Toronto,light rain
2013-10-13,Vancouver,sky is clear
2013-10-14,Albuquerque,sky is clear
2013-10-14,Atlanta,few clouds
2013-10-14,Beersheba,sky is clear
2013-10-14,Boston,sky is clear
2013-10-14,Charlotte,light rain
2013-10-14,Chicago,sky is clear
2013-10-14,Dallas,mist
2013-10-14,Denver,light rain
2013-10-14,Detroit,sky is clear
2013-10-14,Eilat,sky is clear
2013-10-14,Haifa,sky is clear
2013-10-14,Houston,light rain
2013-10-14,Indianapolis,sky is clear
2013-10-14,Jacksonville,sky is clear
2013-10-14,Jerusalem,sky is clear
2013-10-14,Kansas City,overcast clouds
2013-10-14,Las Vegas,sky is clear
2013-10-14,Los Angeles,sky is clear
2013-10-14,Miami,scattered clouds
2013-10-14,Minneapolis,sky is clear
2013-10-14,Montreal,mist
2013-10-14,Nahariyya,sky is clear
2013-10-14,Nashville,sky is clear
2013-10-14,New York,sky is clear
2013-10-14,Philadelphia,sky is clear
2013-10-14,Phoenix,sky is clear
2013-10-14,Pittsburgh,light rain
2013-10-14,Portland,sky is clear
2013-10-14,Saint Louis,broken clouds
2013-10-14,San Antonio,light rain
2013-10-14,San Diego,sky is clear
2013-10-14,San Francisco,sky is clear
2013-10-14,Seattle,light rain
2013-10-14,Tel Aviv District,few clouds
2013-10-14,Toronto,light rain
2013-10-14,Vancouver,sky is clear
2013-10-15,Albuquerque,sky is clear
2013-10-15,Atlanta,broken clouds
2013-10-15,Beersheba,sky is clear
2013-10-15,Boston,broken clouds
2013-10-15,Charlotte,sky is clear
2013-10-15,Chicago,broken clouds
2013-10-15,Dallas,light rain
2013-10-15,Denver,broken clouds
2013-10-15,Detroit,sky is clear
2013-10-15,Eilat,sky is clear
2013-10-15,Haifa,sky is clear
2013-10-15,Houston,light rain
2013-10-15,Indianapolis,broken clouds
2013-10-15,Jacksonville,light rain
2013-10-15,Jerusalem,sky is clear
2013-10-15,Kansas City,light rain
2013-10-15,Las Vegas,sky is clear
2013-10-15,Los Angeles,sky is clear
2013-10-15,Miami,sky is clear
2013-10-15,Minneapolis,light rain
2013-10-15,Montreal,light rain
2013-10-15,Nahariyya,sky is clear
2013-10-15,Nashville,overcast clouds
